method,ratio,subsampling_seed,rmse,mae
temporal_jitter_0p125_rho0p85,0.5,42,0.254191983262,0.173251859399
temporal_jitter_0p125_rho0p85,0.5,123,0.325276313255,0.245354541647
temporal_jitter_0p125_rho0p85,0.5,2026,0.24986966573,0.179104508966
temporal_jitter_0p125_rho0p85,0.75,42,0.269200437979,0.191578372521
temporal_jitter_0p125_rho0p85,0.75,123,0.251434166481,0.172538942675
temporal_jitter_0p125_rho0p85,0.75,2026,0.255541708995,0.177774577647
temporal_jitter_0p15_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p15_rho0p85,0.25,42,0.27756734184,0.200376074877
temporal_jitter_0p15_rho0p85,0.25,123,0.26843706744,0.1918390438
temporal_jitter_0p15_rho0p85,0.25,2026,0.308031673699,0.225778234293
temporal_jitter_0p15_rho0p85,0.5,42,0.251393674094,0.171340103963
temporal_jitter_0p15_rho0p85,0.5,123,0.321556678196,0.24276303349
temporal_jitter_0p15_rho0p85,0.5,2026,0.249759059431,0.17986704026
temporal_jitter_0p15_rho0p85,0.75,42,0.267327325101,0.189851316658
temporal_jitter_0p15_rho0p85,0.75,123,0.249815307434,0.171224005243
temporal_jitter_0p15_rho0p85,0.75,2026,0.252818617801,0.17542332975
temporal_jitter_0p175_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p175_rho0p85,0.25,42,0.275682151688,0.198253433716
temporal_jitter_0p175_rho0p85,0.25,123,0.268883678778,0.192247164938
temporal_jitter_0p175_rho0p85,0.25,2026,0.305094447026,0.223227065829
temporal_jitter_0p175_rho0p85,0.5,42,0.248762882527,0.169454444106
temporal_jitter_0p175_rho0p85,0.5,123,0.318161138577,0.240591835107
temporal_jitter_0p175_rho0p85,0.5,2026,0.249663589433,0.180888193647
temporal_jitter_0p175_rho0p85,0.75,42,0.26507518575,0.187811052034
temporal_jitter_0p175_rho0p85,0.75,123,0.248258328989,0.169888247033
temporal_jitter_0p175_rho0p85,0.75,2026,0.250041434485,0.172965395522
temporal_jitter_0p20_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p20_rho0p85,0.25,42,0.273817523569,0.196333610356
temporal_jitter_0p20_rho0p85,0.25,123,0.269312516695,0.192528260565
temporal_jitter_0p20_rho0p85,0.25,2026,0.301516059344,0.220101781893
temporal_jitter_0p20_rho0p85,0.5,42,0.246364440197,0.167875204815
temporal_jitter_0p20_rho0p85,0.5,123,0.314622938956,0.238335416114
