method,lag,real_acf,synthetic_acf,difference,absolute_difference,acf_mae,real_valid_windows,synthetic_valid_windows
cristian,16,0.0731619195816,-0.00544206012616,-0.0786039797077,0.0786039797077,0.0352790569206,380,380
cristian,17,-0.051123366041,2.04729469717e-05,0.051143838988,0.051143838988,0.0352790569206,380,380
cristian,18,0.0356084334958,0.00816448326043,-0.0274439502354,0.0274439502354,0.0352790569206,380,380
cristian,19,0.0167132390336,-0.0159244054031,-0.0326376444367,0.0326376444367,0.0352790569206,380,380
cristian,20,0.00220427921567,0.00134636581622,-0.000857913399448,0.000857913399448,0.0352790569206,380,380
daniel,1,-0.0584117408152,-0.0401307451329,0.0182809956823,0.0182809956823,0.0391549718458,380,380
daniel,2,-0.0254462001837,-0.0491007600463,-0.0236545598626,0.0236545598626,0.0391549718458,380,380
daniel,3,-0.0631226419599,-0.0208025653466,0.0423200766134,0.0423200766134,0.0391549718458,380,380
daniel,4,-0.0225213284564,-0.0326683852623,-0.0101470568059,0.0101470568059,0.0391549718458,380,380
daniel,5,0.0458863671536,-0.0321840748826,-0.0780704420361,0.0780704420361,0.0391549718458,380,380
daniel,6,-0.0455815166123,-0.0127120905596,0.0328694260527,0.0328694260527,0.0391549718458,380,380
daniel,7,0.02962419387,-0.0170565566728,-0.0466807505428,0.0466807505428,0.0391549718458,380,380
daniel,8,-0.0597091935211,-0.00489658361235,0.0548126099087,0.0548126099087,0.0391549718458,380,380
daniel,9,0.0216958768171,-0.00788101963266,-0.0295768964497,0.0295768964497,0.0391549718458,380,380
daniel,10,-0.0188475476934,-0.0215119553888,-0.00266440769534,0.00266440769534,0.0391549718458,380,380
daniel,11,0.0747119908471,-0.00769132376756,-0.0824033146146,0.0824033146146,0.0391549718458,380,380
daniel,12,-0.0716684295938,-0.0044735303289,0.0671948992649,0.0671948992649,0.0391549718458,380,380
daniel,13,0.00460678381959,-0.0115609755735,-0.0161677593931,0.0161677593931,0.0391549718458,380,380
daniel,14,0.0102174543782,-0.000236585724244,-0.0104540401025,0.0104540401025,0.0391549718458,380,380
daniel,15,-0.0770546950565,-0.00862141362719,0.0684332814293,0.0684332814293,0.0391549718458,380,380
daniel,16,0.0731619195816,-0.0159779768617,-0.0891398964433,0.0891398964433,0.0391549718458,380,380
daniel,17,-0.051123366041,-0.0176673458282,0.0334560202128,0.0334560202128,0.0391549718458,380,380
daniel,18,0.0356084334958,-0.0104951814204,-0.0461036149162,0.0461036149162,0.0391549718458,380,380
daniel,19,0.0167132390336,-0.0137268489906,-0.0304400880242,0.0304400880242,0.0391549718458,380,380
daniel,20,0.00220427921567,0.0019749783499,-0.000229300865773,0.000229300865773,0.0391549718458,380,380
david,1,-0.0584117408152,-0.0460173369797,0.0123944038355,0.0123944038355,0.0359968984946,380,380
david,2,-0.0254462001837,-0.0185258408414,0.0069203593423,0.0069203593423,0.0359968984946,380,380
david,3,-0.0631226419599,-0.0161875074891,0.0469351344709,0.0469351344709,0.0359968984946,380,380
david,4,-0.0225213284564,-0.0139202608153,0.0086010676411,0.0086010676411,0.0359968984946,380,380
david,5,0.0458863671536,-0.010993217851,-0.0568795850046,0.0568795850046,0.0359968984946,380,380
david,6,-0.0455815166123,-0.0141569114192,0.0314246051931,0.0314246051931,0.0359968984946,380,380
david,7,0.02962419387,-0.00213979489876,-0.0317639887688,0.0317639887688,0.0359968984946,380,380
david,8,-0.0597091935211,-0.027042184117,0.0326670094041,0.0326670094041,0.0359968984946,380,380
david,9,0.0216958768171,-0.00476045933704,-0.0264563361541,0.0264563361541,0.0359968984946,380,380
david,10,-0.0188475476934,-0.0026445011265,0.0162030465669,0.0162030465669,0.0359968984946,380,380
david,11,0.0747119908471,-0.0193848086244,-0.0940967994715,0.0940967994715,0.0359968984946,380,380
david,12,-0.0716684295938,-0.0164024502096,0.0552659793841,0.0552659793841,0.0359968984946,380,380
david,13,0.00460678381959,-0.0189034156741,-0.0235101994936,0.0235101994936,0.0359968984946,380,380
david,14,0.0102174543782,-0.0124129447277,-0.022630399106,0.022630399106,0.0359968984946,380,380
david,15,-0.0770546950565,-0.0115086374762,0.0655460575802,0.0655460575802,0.0359968984946,380,380
david,16,0.0731619195816,-0.0103125103778,-0.0834744299594,0.0834744299594,0.0359968984946,380,380
david,17,-0.051123366041,-0.0220021090304,0.0291212570106,0.0291212570106,0.0359968984946,380,380
david,18,0.0356084334958,-0.000678738534847,-0.0362871720307,0.0362871720307,0.0359968984946,380,380
david,19,0.0167132390336,-0.0134360358919,-0.0301492749255,0.0301492749255,0.0359968984946,380,380
david,20,0.00220427921567,-0.00740658533295,-0.00961086454862,0.00961086454862,0.0359968984946,380,380
marco,1,-0.0584117408152,0.0943417891006,0.152753529916,0.152753529916,0.0953539774115,380,380
marco,2,-0.0254462001837,0.124696290589,0.150142490773,0.150142490773,0.0953539774115,380,380
marco,3,-0.0631226419599,0.0770276993752,0.140150341335,0.140150341335,0.0953539774115,380,380
marco,4,-0.0225213284564,0.209942227113,0.232463555569,0.232463555569,0.0953539774115,380,380
marco,5,0.0458863671536,0.301228635201,0.255342268047,0.255342268047,0.0953539774115,380,380
marco,6,-0.0455815166123,-0.0581516973968,-0.0125701807846,0.0125701807846,0.0953539774115,380,380
marco,7,0.02962419387,0.0592787618372,0.0296545679672,0.0296545679672,0.0953539774115,380,380
marco,8,-0.0597091935211,0.0280205793274,0.0877297728485,0.0877297728485,0.0953539774115,380,380
marco,9,0.0216958768171,0.0526511525696,0.0309552757526,0.0309552757526,0.0953539774115,380,380
marco,10,-0.0188475476934,0.0449459168173,0.0637934645107,0.0637934645107,0.0953539774115,380,380
marco,11,0.0747119908471,-0.0358665628952,-0.110578553742,0.110578553742,0.0953539774115,380,380
marco,12,-0.0716684295938,0.0412706570624,0.112939086656,0.112939086656,0.0953539774115,380,380
marco,13,0.00460678381959,-0.112966028565,-0.117572812385,0.117572812385,0.0953539774115,380,380
marco,14,0.0102174543782,-0.0179915554695,-0.0282090098478,0.0282090098478,0.0953539774115,380,380
marco,15,-0.0770546950565,-0.0471897247264,0.02986497033,0.02986497033,0.0953539774115,380,380
marco,16,0.0731619195816,0.0331865711864,-0.0399753483952,0.0399753483952,0.0953539774115,380,380
marco,17,-0.051123366041,-0.131038298153,-0.0799149321117,0.0799149321117,0.0953539774115,380,380
marco,18,0.0356084334958,-0.137291955763,-0.172900389259,0.172900389259,0.0953539774115,380,380
marco,19,0.0167132390336,-0.0130518054975,-0.0297650445312,0.0297650445312,0.0953539774115,380,380
marco,20,0.00220427921567,-0.0275996742522,-0.0298039534679,0.0298039534679,0.0953539774115,380,380
