method,lag,real_acf,synthetic_acf,difference,absolute_difference,acf_mae,real_valid_windows,synthetic_valid_windows
bootstrap_jitter,18,0.0079772719902,-0.0219781232953,-0.0299553952855,0.0299553952855,0.0326474304467,380,380
bootstrap_jitter,19,-0.0605959346956,-0.00756494075876,0.0530309939368,0.0530309939368,0.0326474304467,380,380
bootstrap_jitter,20,-0.0155761443486,-0.0136589764248,0.00191716792388,0.00191716792388,0.0326474304467,380,380
cristian,1,-0.0353473916628,0.0755487443921,0.110896136055,0.110896136055,0.0309993454079,380,380
cristian,2,-0.0925940864245,0.0440248275758,0.136618914,0.136618914,0.0309993454079,380,380
cristian,3,0.0123634046391,0.0292908747672,0.0169274701282,0.0169274701282,0.0309993454079,380,380
cristian,4,0.0102675603357,0.0233172952207,0.013049734885,0.013049734885,0.0309993454079,380,380
cristian,5,0.0645833860963,0.0099660689159,-0.0546173171804,0.0546173171804,0.0309993454079,380,380
cristian,6,-0.00528992537183,0.00667334927642,0.0119632746482,0.0119632746482,0.0309993454079,380,380
cristian,7,-0.0364270082596,-0.0189037825731,0.0175232256865,0.0175232256865,0.0309993454079,380,380
cristian,8,-0.0052364422875,-0.00335203719601,0.00188440509148,0.00188440509148,0.0309993454079,380,380
cristian,9,-0.0115889600717,-0.00530054919376,0.00628841087794,0.00628841087794,0.0309993454079,380,380
cristian,10,-0.00953207181466,-0.00208542371513,0.00744664809954,0.00744664809954,0.0309993454079,380,380
cristian,11,0.00680199657136,-0.00209906448201,-0.00890106105336,0.00890106105336,0.0309993454079,380,380
cristian,12,-0.0540737296906,-0.0173816040663,0.0366921256243,0.0366921256243,0.0309993454079,380,380
cristian,13,0.0404783611959,-0.00717668142261,-0.0476550426185,0.0476550426185,0.0309993454079,380,380
cristian,14,-0.0318401262108,-0.0152180527665,0.0166220734443,0.0166220734443,0.0309993454079,380,380
cristian,15,-0.0425583979878,-0.0166381603983,0.0259202375895,0.0259202375895,0.0309993454079,380,380
cristian,16,-0.00152077482418,-0.0290324152121,-0.0275116403879,0.0275116403879,0.0309993454079,380,380
cristian,17,-0.0112463362761,-0.019941754389,-0.00869541811287,0.00869541811287,0.0309993454079,380,380
cristian,18,0.0079772719902,-0.0207646093507,-0.0287418813409,0.0287418813409,0.0309993454079,380,380
cristian,19,-0.0605959346956,-0.0230644528904,0.0375314818052,0.0375314818052,0.0309993454079,380,380
cristian,20,-0.0155761443486,-0.0200765538766,-0.00450040952793,0.00450040952793,0.0309993454079,380,380
daniel,1,-0.0353473916628,0.026091430956,0.0614388226188,0.0614388226188,0.0280370569885,380,380
daniel,2,-0.0925940864245,0.011318458519,0.103912544944,0.103912544944,0.0280370569885,380,380
daniel,3,0.0123634046391,0.0042215958265,-0.00814180881256,0.00814180881256,0.0280370569885,380,380
daniel,4,0.0102675603357,0.00477259340847,-0.00549496692724,0.00549496692724,0.0280370569885,380,380
daniel,5,0.0645833860963,-0.0119033829935,-0.0764867690898,0.0764867690898,0.0280370569885,380,380
daniel,6,-0.00528992537183,-0.00772381296351,-0.00243388759168,0.00243388759168,0.0280370569885,380,380
daniel,7,-0.0364270082596,-0.0213987229508,0.0150282853088,0.0150282853088,0.0280370569885,380,380
daniel,8,-0.0052364422875,-0.0101155776752,-0.00487913538773,0.00487913538773,0.0280370569885,380,380
daniel,9,-0.0115889600717,-0.0173371223139,-0.00574816224218,0.00574816224218,0.0280370569885,380,380
daniel,10,-0.00953207181466,-0.0294083624123,-0.0198762905976,0.0198762905976,0.0280370569885,380,380
daniel,11,0.00680199657136,-0.0198744077309,-0.0266764043023,0.0266764043023,0.0280370569885,380,380
daniel,12,-0.0540737296906,-0.0122814788173,0.0417922508733,0.0417922508733,0.0280370569885,380,380
daniel,13,0.0404783611959,-0.0100324842324,-0.0505108454283,0.0505108454283,0.0280370569885,380,380
daniel,14,-0.0318401262108,-0.00907407857209,0.0227660476387,0.0227660476387,0.0280370569885,380,380
daniel,15,-0.0425583979878,-0.0147917685102,0.0277666294776,0.0277666294776,0.0280370569885,380,380
daniel,16,-0.00152077482418,-0.0118318288183,-0.0103110539941,0.0103110539941,0.0280370569885,380,380
daniel,17,-0.0112463362761,-0.0176255817926,-0.00637924551646,0.00637924551646,0.0280370569885,380,380
daniel,18,0.0079772719902,-0.013444384179,-0.0214216561692,0.0214216561692,0.0280370569885,380,380
daniel,19,-0.0605959346956,-0.0129420842529,0.0476538504426,0.0476538504426,0.0280370569885,380,380
daniel,20,-0.0155761443486,-0.0175986267564,-0.00202248240779,0.00202248240779,0.0280370569885,380,380
david,1,-0.0353473916628,0.0741046481268,0.10945203979,0.10945203979,0.0313127474671,380,380
david,2,-0.0925940864245,0.0267210587779,0.119315145202,0.119315145202,0.0313127474671,380,380
david,3,0.0123634046391,0.0151066235994,0.00274321896039,0.00274321896039,0.0313127474671,380,380
david,4,0.0102675603357,0.00830673278576,-0.00196082754995,0.00196082754995,0.0313127474671,380,380
david,5,0.0645833860963,-0.00134036915184,-0.0659237552482,0.0659237552482,0.0313127474671,380,380
david,6,-0.00528992537183,0.00990587695844,0.0151958023303,0.0151958023303,0.0313127474671,380,380
david,7,-0.0364270082596,-0.013028370318,0.0233986379415,0.0233986379415,0.0313127474671,380,380
david,8,-0.0052364422875,-0.0077612672671,-0.0025248249796,0.0025248249796,0.0313127474671,380,380
david,9,-0.0115889600717,0.00356410274615,0.0151530628178,0.0151530628178,0.0313127474671,380,380
david,10,-0.00953207181466,-0.00358422080725,0.00594785100741,0.00594785100741,0.0313127474671,380,380
david,11,0.00680199657136,-0.0164381617129,-0.0232401582842,0.0232401582842,0.0313127474671,380,380
david,12,-0.0540737296906,-0.00919462275951,0.0448791069311,0.0448791069311,0.0313127474671,380,380
david,13,0.0404783611959,-0.0153377338363,-0.0558160950322,0.0558160950322,0.0313127474671,380,380
david,14,-0.0318401262108,-0.0175604189987,0.0142797072121,0.0142797072121,0.0313127474671,380,380
david,15,-0.0425583979878,-0.018629989347,0.0239284086408,0.0239284086408,0.0313127474671,380,380
david,16,-0.00152077482418,-0.0171475554302,-0.015626780606,0.015626780606,0.0313127474671,380,380
david,17,-0.0112463362761,-0.0175128569259,-0.00626652064975,0.00626652064975,0.0313127474671,380,380
david,18,0.0079772719902,-0.0182729008911,-0.0262501728813,0.0262501728813,0.0313127474671,380,380
david,19,-0.0605959346956,-0.00787559102258,0.052720343673,0.052720343673,0.0313127474671,380,380
david,20,-0.0155761443486,-0.0139436547434,0.00163248960521,0.00163248960521,0.0313127474671,380,380
marco,1,-0.0353473916628,0.012298844481,0.0476462361438,0.0476462361438,0.0424368795351,380,380
marco,2,-0.0925940864245,0.081621730835,0.17421581726,0.17421581726,0.0424368795351,380,380
marco,3,0.0123634046391,0.0421119936089,0.0297485889699,0.0297485889699,0.0424368795351,380,380
marco,4,0.0102675603357,0.0867375341826,0.0764699738469,0.0764699738469,0.0424368795351,380,380
marco,5,0.0645833860963,0.137299313845,0.0727159277487,0.0727159277487,0.0424368795351,380,380
marco,6,-0.00528992537183,-0.0177610429175,-0.0124711175457,0.0124711175457,0.0424368795351,380,380
marco,7,-0.0364270082596,0.00779965378231,0.0442266620419,0.0442266620419,0.0424368795351,380,380
marco,8,-0.0052364422875,0.0354348311552,0.0406712734427,0.0406712734427,0.0424368795351,380,380
marco,9,-0.0115889600717,-0.027323677594,-0.0157347175223,0.0157347175223,0.0424368795351,380,380
marco,10,-0.00953207181466,0.0283446577055,0.0378767295202,0.0378767295202,0.0424368795351,380,380
marco,11,0.00680199657136,-0.0201000209274,-0.0269020174987,0.0269020174987,0.0424368795351,380,380
marco,12,-0.0540737296906,-0.0131579383438,0.0409157913468,0.0409157913468,0.0424368795351,380,380
marco,13,0.0404783611959,-0.0407769000638,-0.0812552612597,0.0812552612597,0.0424368795351,380,380
marco,14,-0.0318401262108,-0.0210360235631,0.0108041026478,0.0108041026478,0.0424368795351,380,380
marco,15,-0.0425583979878,0.00191617114045,0.0444745691283,0.0444745691283,0.0424368795351,380,380
marco,16,-0.00152077482418,-0.00301866266614,-0.00149788784196,0.00149788784196,0.0424368795351,380,380
marco,17,-0.0112463362761,-0.0265160785432,-0.015269742267,0.015269742267,0.0424368795351,380,380
marco,18,0.0079772719902,-0.0221573676226,-0.0301346396128,0.0301346396128,0.0424368795351,380,380
marco,19,-0.0605959346956,-0.0518041040353,0.0087918306603,0.0087918306603,0.0424368795351,380,380
marco,20,-0.0155761443486,0.0213385600485,0.0369147043972,0.0369147043972,0.0424368795351,380,380
